wkt_geom,Plan_Title,Year,Basin,SubBasin,River_Stream,Organization,Link
NULL,Clear Creek Watershed Report Exploring Watershed Sustainability ,2007,South Platte,10190004,Clear Creek,Clear Creek Watershed Foundation,http://www.clearcreekwater.org/pdfs/CCWF-2007-report-optimized.pdf
NULL,Boulder Creek Community Stewardship Plan,2007,South Platte,10190005,Boulder Creek,Boulder Creek Watershed Initiative,http://cwcbweblink.state.co.us/WebLink/DocView.aspx?id=123865&page=1&dbid=0
NULL,Barr-Lake and Milton Reservoir Watershed Management Plan,2008,South Platte,10190003,Barr- Lake and Milton Reservoir,Barr Lake and Milton Reservoir Watershed Association,http://www.barr-milton.org/wp-content/uploads/2011/08/BMW_WP_Draft_Text_102008.pdf
NULL,North Fork of the Republican River Watershed Plan,2008,South Platte,10250002,North Fork of the Republican,Yuma County Conservation District,http://www.ycconservation.com/index.html
NULL,Big Thompson State of the Watershed 2010 Report,2010,South Platte,10190006,Big Thompson River,Big Thompson Watershed Forum,
,,,,,,,
http://www.btwatershed.org/,,,,,,,
NULL,Standley Lake and Clear Creek Source Water Protection Plan ,2010,South Platte,10190004,Standley Lake and Clear Creek,"City of Westminster, Northglenn and Thornton",http://www.standleyswp.com/uploads/1/2/9/6/1296822/swpp_final_report.pdf
NULL,Upper South Platte Watershed Plan,2014,South Platte,10190001,Upper South Platte,Coalition for the Upper South Platte (CUSP),http://cusp.ws/
NULL,Upper South Platte Watershed Plan,2014,South Platte,10190002,Upper South Platte,Coalition for the Upper South Platte (CUSP),http://cusp.ws/
NULL,The Trail Creek Watershed,,,,,,
Master Plan for Stream Restoration,,,,,,,
& Sediment Reduction,,,,,,,
,2011,South Platte,10190001,Trail Creek,Coalition for the Upper South Platte,http://cusp.ws/wp-content/uploads/2014/10/TrailCreek_MasterPlanComp.pdf,
NULL,The Trail Creek Watershed,,,,,,
Master Plan for Stream Restoration,,,,,,,
& Sediment Reduction,,,,,,,
,2011,South Platte,10190002,Trail Creek,Coalition for the Upper South Platte,http://cusp.ws/wp-content/uploads/2014/10/TrailCreek_MasterPlanComp.pdf,
NULL,South Platte River,,,,,,
"Sportsman’s Paradise & Happy Meadows Reaches 20, 21 & 22 River Assessment & Restoration Plan",2011,South Platte,10190001,South Platte River (confluence with Beaver Creek and the Crystal Creek),Coalition for the Upper South Platte,http://www.cusp.ws/wp-content/uploads/2014/10/Sportsmen-Happy_MeadowsHydroReportComp.pdf  ,
NULL,South Platte River,,,,,,
"Sportsman’s Paradise & Happy Meadows Reaches 20, 21 & 22 River Assessment & Restoration Plan",2011,South Platte,10190002,South Platte River (confluence with Beaver Creek and the Crystal Creek),Coalition for the Upper South Platte,http://www.cusp.ws/wp-content/uploads/2014/10/Sportsmen-Happy_MeadowsHydroReportComp.pdf  ,
NULL,Nonpoint Source Watershed Protection Plan for Jackson County (draft in progress),2012,South Platte,10180002,North Platte,Owl Mountain Partnership,http://owlmountainpartnership.org/yahoo_site_admin/assets/docs/Watershed_Plan_Summary_2012.8690615.htm
NULL,Cherry Creek Watershed Plan,2012,South Platte,10190003,Cherry Creek,Cherry Creek Basin Water Quality Authority ,http://www.cherrycreekbasin.org/wp-content/uploads/2014/03/Watershed-Plan-2012.pdf
NULL,Lower South Platte Watershed Plan - Phase I,2012,South Platte,10190018,Lower South Platte River,Colorade State Conservation Board,https://www.colorado.gov/pacific/agconservation/conservationboard
NULL,The Waldo Canyon Fire Master,,,,,,
Plan for Watershed Restoration &,,,,,,,
Sediment Reduction,2013,South Platte,10190001,Camp Creek; Douglas Creek; Fountain Creek; Monument Creek,Coalition for the Upper South Platte,http://cusp.ws/wp-content/uploads/2014/10/FinalWaldoCanyonFireMasterRestorationPlanComp.pdf,
NULL,The Waldo Canyon Fire Master,,,,,,
Plan for Watershed Restoration &,,,,,,,
Sediment Reduction,2013,South Platte,10190002,Camp Creek; Douglas Creek; Fountain Creek; Monument Creek,Coalition for the Upper South Platte,http://cusp.ws/wp-content/uploads/2014/10/FinalWaldoCanyonFireMasterRestorationPlanComp.pdf,
NULL,Updated 2014 Bear Creek Watershed Management Plan,2014,South Platte,10190004,Bear Creek,Bear Creek Watershed Association,http://www.bearcreekwatershed.org/Watershed%20Plan.htm 
NULL,Upper Coal Creek Restoration Watershed Master Plan ,2014,South Platte,10190003,Upper Coal Creek,Coal Creek Canyon Watershed Partnership,http://uppercoalcreek.com/wp-content/uploads/2014/11/Coal-Creek-Master-Plan-Report-Nov-2014.pdf
NULL,Fall River Master Plan (in progress) ,2014,South Platte,10190006,Fall River,Fall River Coalition (transitioning to Estes Valley Chapter),http://static1.squarespace.com/static/52e9198ce4b09c239b5de2b1/t/544ffd8fe4b08204e31d663e/1414528399114/Fall+River+Concepts_102814.pdf
NULL,Fish Creek Master Plan (in progress) ,2014,South Platte,10190006,Fish Creek,Fish Creek Coalition (transitioning to Estes Valley Chapter),http://static1.squarespace.com/static/5339ca4ee4b069950dee2c9a/t/544ffc10e4b03406cc8b834b/1414528016188/Fish+Creek+Concept+Designs_102814.pdf
NULL,Little Thompson Watershed Restoration Master Plan ,2014,South Platte,10190005,Little Thompson ,Little Thompson Watershed Restoration Coalition,http://www.ltwrc.org/Proposal%20-%20Tetra%20Tech_edited.pdf
NULL,Left Hand Creek Watershed Master Plan,2014,South Platte,10190005,Lefthand Creek,Left Hand Creek Coalition,http://lwog.org/wp-content/uploads/final-left-hand-creek-watershed-master-plan2.pdf
NULL,Big Thompson River Restoration Master Plan,2015,South Platte,10190006,Big Thompson River,Big Thompson River Restoration Coalition,http://www.bigthompson.co/master-planning/
NULL,Chatfield Watershed Plan,,South Platte,10190003,Chatfield Reservoir; Plum Creek; South Platte River; Deer Creek; and Massey Draw ,Chatfield Watershed Authority,http://chatfieldwatershedauthority.org/wp-content/uploads/2013/07/Item-2-Chatfield-Watershed-Plan_09-10-14_redlined-Final-Draft.pdf
NULL,Watershed Management Plan for Boulder Creek Watershed and Monitoring Plan for St. Vrain Watershed,,South Platte,10190005,Boulder Creek and St. Vrain,Keep it Clean Partnership,http://www.keepitcleanpartnership.org/watershed/ 
NULL,Upper Cache la Poudre Watershed Plan,,South Platte,10190007,Cache la Poudre,Coalition for the Poudre River Watershed,https://www.colorado.gov/pacific/sites/default/files/WQ_nonpoint_source-2015-NPS-Projects-Combined.pdf
NULL,Lower Beak Creek Watershed Plan,,South Platte,10190004,Bear Creek,Groundwork Denver,https://www.colorado.gov/pacific/sites/default/files/WQ_nonpoint_source-2015-NPS-Projects-Combined.pdf
NULL,Yampa River Basin Partnership Work Plan ,2006,Yampa/ White/ Green,14050001,Yampa River,Yampa River Basin Partnership,http://yampavalleypartners.com/yampa-river-basin-partnership/
NULL,Yampa River Basin Partnership Work Plan ,2006,Yampa/ White/ Green,14050002,Yampa River,Yampa River Basin Partnership,http://yampavalleypartners.com/yampa-river-basin-partnership/
NULL, Upper Yampa River Basin Implementation Plan,2006,Yampa/ White/ Green,14050001,Upper Yampa River,Routt County Conservation District,http://routtcountycd.com/wp-content/uploads/2012/04/implementation-plan.pdf 
NULL,Upper Yampa State of the Watershed Report,2014,Yampa/ White/ Green,14050001,Upper Yampa River,Routt County Conservation District,http://www.co.routt.co.us/AgendaCenter/ViewFile/Item/1656?fileID=1840
NULL,Upper Yampa Watershed Plan,,Yampa/ White/ Green,14050001,Upper Yampa Watershed,Routt County Conservation District,http://www.flipgorilla.com/p/23023990364732953/show#/23023990364732953/2
